City_ID,city,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,42.69,87,32,9.89,RU,1628730559
1,hermanus,-34.4187,19.2345,49.89,85,100,14.97,ZA,1628730446
2,alofi,-19.0595,-169.9187,75.09,83,75,17.27,NU,1628730559
3,flinders,-34.5833,150.8552,66.18,39,0,8.01,AU,1628730559
4,almeria,37.1667,-2.3333,85.14,52,100,5.46,ES,1628730560
5,albany,42.6001,-73.9662,81.63,83,100,5.08,US,1628730545
6,saskylakh,71.9167,114.0833,51.71,65,95,12.91,RU,1628730560
7,hobart,-42.8794,147.3294,53.46,58,40,5.99,AU,1628730290
8,bandarbeyla,9.4942,50.8122,75.15,82,98,22.64,SO,1628730560
9,matara,5.9485,80.5353,78.17,86,100,15.35,LK,1628730561
10,acapulco,16.8634,-99.8901,84.02,74,40,5.75,MX,1628730435
11,mataura,-46.1927,168.8643,51.15,81,100,7.11,NZ,1628730561
12,daru,-9.0763,143.2092,79.2,86,71,15.9,PG,1628730561
13,davila,18.4726,120.5763,79.21,88,100,10.2,PH,1628730561
14,hithadhoo,-0.6,73.0833,81.63,75,100,13.58,MV,1628730562
15,port alfred,-33.5906,26.891,56.95,80,68,15.17,ZA,1628730562
16,punta arenas,-53.15,-70.9167,46.51,81,75,6.91,CL,1628730562
17,faanui,-16.4833,-151.75,78.8,71,10,12.91,PF,1628730562
18,orocue,4.7912,-71.3354,74.73,91,41,4.05,CO,1628730562
19,vaini,-21.2,-175.2,66.36,94,90,3.44,TO,1628730563
20,adamovka,51.5223,59.9396,53.98,78,0,9.42,RU,1628730563
21,senador pompeu,-5.5881,-39.3717,79.03,63,90,5.35,BR,1628730563
22,evensk,61.95,159.2333,55.71,82,100,6.96,RU,1628730563
23,petropavlovka,50.6114,105.3196,67.19,72,0,2.37,RU,1628730564
24,ponnani,10.767,75.9252,72.72,89,100,5.37,IN,1628730564
25,altamont,42.2068,-121.7372,94.84,15,1,4.0,US,1628730564
26,tornio,65.8481,24.1466,57.22,86,16,4.94,FI,1628730564
27,kysyl-syr,63.8986,122.7617,67.21,70,85,2.95,RU,1628730565
28,namatanai,-3.6667,152.4333,83.86,72,98,3.6,PG,1628730565
29,thompson,55.7435,-97.8558,46.56,100,90,14.97,CA,1628730565
30,hilo,19.7297,-155.09,78.8,91,99,1.01,US,1628730398
31,mandurah,-32.55,115.7,55.22,66,100,2.48,AU,1628730566
32,rikitea,-23.1203,-134.9692,72.88,69,5,10.29,PF,1628730566
33,ternate,0.8,127.4,83.73,69,52,1.79,ID,1628730566
34,atar,20.5169,-13.0499,90.72,15,5,13.69,MR,1628730566
35,lebu,-37.6167,-73.65,47.8,85,0,7.16,CL,1628730567
36,east london,-33.0153,27.9116,59.47,72,2,17.31,ZA,1628730567
37,saint george,37.1041,-113.5841,100.87,23,1,16.11,US,1628730358
38,cabo san lucas,22.8909,-109.9124,85.6,80,40,1.99,MX,1628730567
39,marsa matruh,31.3525,27.2453,80.56,74,0,11.5,EG,1628730567
40,caravelas,-17.7125,-39.2481,69.22,91,6,5.08,BR,1628730568
41,saldanha,-33.0117,17.9442,54.81,82,100,16.98,ZA,1628730568
42,foam lake,51.65,-103.5343,62.15,52,81,24.34,CA,1628730568
43,castro,-24.7911,-50.0119,52.11,97,100,8.63,BR,1628730568
44,georgetown,5.4112,100.3354,81.9,85,20,3.44,MY,1628730419
45,cape town,-33.9258,18.4232,50.88,92,100,1.01,ZA,1628730569
46,clyde river,70.4692,-68.5914,45.99,65,99,2.82,CA,1628730569
47,kapaa,22.0752,-159.319,86.32,70,40,1.99,US,1628730570
48,jamestown,42.097,-79.2353,76.32,82,1,5.99,US,1628730429
49,lagoa,39.05,-27.9833,72.16,84,83,15.68,PT,1628730570
50,rocha,-34.4833,-54.3333,40.44,91,1,3.6,UY,1628730570
51,tuktoyaktuk,69.4541,-133.0374,55.63,68,100,13.82,CA,1628730570
52,ribeira grande,38.5167,-28.7,73.06,85,89,14.99,PT,1628730571
53,pilar,-9.5972,-35.9567,71.53,91,49,1.9,BR,1628730571
54,marti,22.9475,-80.9203,79.45,73,77,12.48,CU,1628730571
55,qaanaaq,77.484,-69.3632,40.26,95,100,2.35,GL,1628730572
56,chuy,-33.6971,-53.4616,43.02,82,5,2.73,UY,1628730572
57,tevriz,57.509,72.4042,49.14,80,0,9.4,RU,1628730572
58,mlalo,-4.9333,38.9333,65.8,89,9,5.35,TZ,1628730572
59,saint-philippe,-21.3585,55.7679,71.15,82,39,10.09,RE,1628730573
60,te anau,-45.4167,167.7167,52.61,87,100,13.11,NZ,1628730379
61,kodiak,57.79,-152.4072,52.92,95,100,13.91,US,1628730573
62,cherskiy,68.75,161.3,65.79,37,58,6.98,RU,1628730573
63,ushuaia,-54.8,-68.3,42.46,81,40,27.63,AR,1628730502
64,vestmanna,62.1564,-7.1664,52.72,100,90,14.97,FO,1628730573
65,vao,-22.6667,167.4833,67.77,60,25,21.83,NC,1628730574
66,fortuna,40.5982,-124.1573,61.66,84,1,10.36,US,1628730574
67,carman,49.4992,-98.0016,72.91,42,99,13.51,CA,1628730574
68,provideniya,64.3833,-173.3,41.11,75,90,8.95,RU,1628730574
69,nome,64.5011,-165.4064,51.17,58,90,6.91,US,1628730574
70,alindao,5.0267,21.2088,69.71,97,98,2.19,CF,1628730575
71,mangai,-4.05,19.5333,77.7,49,100,2.93,CD,1628730575
72,chokurdakh,70.6333,147.9167,65.05,62,100,8.79,RU,1628730575
73,bambous virieux,-20.3428,57.7575,71.85,83,75,9.22,MU,1628730575
74,lavrentiya,65.5833,-171.0,42.75,64,100,4.74,RU,1628730576
75,tual,-5.6667,132.75,80.4,82,21,20.36,ID,1628730576
76,ituiutaba,-18.9689,-49.465,71.19,25,11,3.49,BR,1628730576
77,teya,60.3778,92.6267,66.24,58,100,1.41,RU,1628730576
78,belaya gora,68.5333,146.4167,72.05,44,100,9.35,RU,1628730577
